text,vulgar,threat,insult,neutral
মহান আল্লাহ আপনাদের পিতা পুত্রের এই মধুর সম্পর্ক যেন দুনিয়া ও আখিরাতও রাখেন।,0,0,0,1
আলহামদুলিল্লাহ। তোমার আজকের অবস্থানই তোমার বাবার সাফল্য ও সার্থকতা। আল্লাহ মহান।,0,0,0,1
বন্ধু আল্লাহ্ তায়ালা আঙ্কেলকে হায়াতে তাইয়্যেবা সহ সার্বিক কল্যাণ দান করুন। আমীন,0,0,0,1
ভাই আসলে কি শিবির করেন নাকি,0,0,0,1
কী দারুন দুই জন,0,0,0,1
সাদামাটা জীবন সাদামাটা মানুষ যে কেউ যেকোন স্থানে আপন করে নিতে পারবে।,0,0,0,1
পতিত আমলে ফাজায়েলে আমল ইত্যাদি ইত্যাদি কিতাব দেখিয়ে জঙ্গি নাটক সাজাত,0,0,0,1
ঐ বাবা গর্বিত যার ঘরে হাসনাত আবদুল্লাহর মতো সন্তান জন্ম নেয়,0,0,0,1
বাপ কা বেটা আল্লাহ বাপবেটাকে দুনিয়া ও আখেরাতে কামিয়াবি দান করুন।,0,0,0,1
সবাই তাকিয়েছেন ওনার বাবার দিকে আর আমি তাকিয়েছি ওনার বইয়ের তাকের দিকে তাকিয়ে আমি একটি বিষয় পরিলক্ষিত হলাম কিভাবে বইগুলো সাজিয়েছেন আর তিনি সব বইয়ের উপরে স্থান দিয়েছেন মহান রাসুলের বানী সংবলিত তিরমিযী শরীফ মুসলিম শরীফসহ অন্যান্য হাদীস গ্রন্থ। এটাই হলো মুমিনের ভালোবাসা।,0,0,0,1
বাপকা বেটা সিপাইকা ঘোড়া। কুছনা হো তো থোরা থোরা। বস।,0,0,0,1
আল্লাহ পাক যেন বাবা ছেলেকে নেক হায়াত দান করে আমিন।,0,0,0,1
পৃথিবীতে বাবারা এমনই হয় সকল বাবাদের অনেক ধন্যবাদ,0,0,0,1
তোমার বাবাকে নিয়ে তোমার লিখনী অসাধারণ। বাবা ও ছেলে ভাল থাকো এই দোয়া করি,0,0,0,1
দুইজনের হাসি একই।,0,0,0,1
বাবা কে নিয়ে সুন্দর লেখনী। দোয়া রইলো তোমার বাবার জন্য।,0,0,0,1
কে কোন দিকে তাকাইছো জানিনাতবে আমি তার বই রাখা র্যাক এ তাকালাম একদম উপরে,0,0,0,1
এটাই তাহলে সেই ফকিন্নি,0,0,1,0
মাশাআল্লাহ আলহামদুলিল্লাহ,0,0,0,1
ফ্যাসিস্ট হাসিনা ও তার দোসরদের একমাত্র পরিচয় খুনি ও গণহত্যাকারী। জুলাইয়ের ঘাতকদের আর কোনো পরিচয় হতে পারে না।ক্রিকেটার সাকিব এবং রাজনীতিবিদ সাকিব আলাদা এই বয়ান প্রতিষ্ঠার চেষ্টা যারা করেছিলেন তাদের উদ্দেশ্য জাতির কাছে স্পষ্ট। একইভাবে বিভিন্ন পেশার গণহত্যাকারীদেরকে তথাকথিত বুদ্ধিজীবী সাংবাদিক পেশাজীবি রাজনীতিবিদ কূটনৈতিক নানা পরিচয় দিয়ে নরমালাইজ এবং পুনর্বাসনের চেষ্টা করা হয়েছে। আমরা স্পষ্ট ভাষায় বলতে চাই দীর্ঘ ফ্যাসিবাদী আমলে সর্বস্তরে জেঁকে বসা ফ্যাসিস্ট ফ্যাসিস্টের দোসর এবং ফ্যাসিবাদী কাঠামো ভেঙে চুরমার করা পর্যন্ত জুলাই প্রজন্ম ক্ষান্ত হবে না।সাদিক কাইয়ুম ভাই,0,0,1,0
আপনার অপেক্ষায় গোটা দেশ বস,0,0,0,1
আগে তুমি মানুষ হও। কোনো অমানুষের যায়গা বাংলাদেশের জাতীয় দলে হবেনা।,0,0,1,0
বাংলাদেশকে ভালোবাসলে কেউ দুই হাজার বাংলাদেশী নাগরিকের খুনকে বৈধতা দিতে পারে না খুনিদের সমর্থন দিতে পারে না।,0,0,0,1
আর বাংলাদেশে তুমি অবশ্যই ফিরবা সাকিব। আমরাই আনবো। খুনিদের বিচার এখনো বাকি যে,0,0,0,1
মুনাফেক শয়তান,0,0,1,0
বাংলাদেশের কেউ চায় না কোনো খুনী বা খুনীর সহযোগী দেশে আসুক। লাল কার্ড। মুজিবিবাদ মুর্দাবাদ বাংলাদেশ জিন্দাবাদ,0,0,0,1
সেদিন এসব দালাল চাটুকাররা ইতিহাসের আস্তাকুড়ে নিক্ষেপ হবে,0,0,1,0
অভিনন্দন। আপনি অবশ্যই দেশে ফিরবেন।,0,0,0,1
বাংলাদেশের নাম মুখে নিবিনা ইতর। ফেরার কথা তো দুরের কথা।,0,1,1,0
আপনি আছেন ও থাকবেন দেশের ১৮ কোটি মানুষের ভালোবাসায়।,0,0,0,1
বাইঞ্চোদ আসিস তুই। বার্নিশ করে ছেড়ে দিবো,1,1,1,0
ভালোবাসি বাংলাদেশ,0,0,0,1
রাজা সবসময় রাজাই থাকে অর্থাৎ রাজাকে কেউ সহজে ছোট করতে পারে না তার মর্যাদা ও অবস্থান সবসময় একই থাকে।,0,0,0,1
মজা পাইলাম আলতাব,0,0,0,1
আমি কিন্তু আনোয়ার টিভির বোন জামাই তাই আমি ও সাপোর্ট চাই,0,0,0,1
আমি হলাম জুনিয়র আনোয়ার টিবি,0,0,0,1
নিকোলের পাদদেশে আঙ্গুল দিলো মিরাজ আফ্রিদি,1,0,0,0
উপস্থাপিকা নিকোল থার্ড ক্যলাস উপস্থাপিকা,0,0,1,0
সম্মানিত ব্যাক্তিকে সম্মান করতে পারাটাই শিক্ষার পরিচয়,0,0,0,1
নিকোলের স্বপ্ন পূরণ করা উচিত,0,0,0,1
অনেকে বলছে তার নাম নিপল,1,0,0,0
জয়ের সাথে তার বিয়ের ব্যবস্তা যেতে পারে,0,0,0,1
যমুনা টিভি চুদলিং পং হবে এবার।,1,0,1,0
এটা সেই ছিল,0,0,0,1
স্বপ্নদোষের কারণ,1,0,0,0
এই জন্যই আগে মানুষ বলতো কন্ডোম এক্সিডেন্ট থেকে সাংঘাতিক জন্ম নেয়।,1,0,1,0
এ বিষয়ে ভারতের সাথে আলোচনা করে সিদ্ধান্ত নেওয়া হবে।,0,0,0,1
হাসির হলেও বাস্তব,0,0,0,1
এটা সেরা,0,0,0,1
ওহ নো,0,0,0,1
সেরা সেরা সেরা,0,0,0,1
সালি রাতে স্বপ্ন মধ্যে সেই মোজা লই,1,0,0,0
এবার ঠিক আছে,0,0,0,1
অস্থির ডেলিভারি,0,0,0,1
আগাকাটার লেখা বলে কথা,1,0,1,0
সেই বলছেন ভাই ধন্যবাদ।,0,0,0,1
বঙ্গবন্ধু যে কেমন নেতা ছিলো তা আজো বুঝা যায়।,0,0,0,1
ভাই বিশ্বাস করেন এটা সেরা,0,0,0,1
এটারে কেহ কিছু লাগা,1,1,0,0
বল্টুর দ্বারা উনার অর্গাজম হয়,1,0,0,0
শেখ মুজিব শুধু আওয়ামী লীগের না,0,0,0,1
সুন্দর সুন্দর,0,0,0,1
বাগ সাল এনেছে মজিব,0,0,0,1
এটা সেরা ছিলো,0,0,0,1
ভাই ঘটনা কি সত্যি,0,0,0,1
তোমার জন্য অনেক অনেক দোয়া আর শুভকামনা।,0,0,0,1
বঙ্গবন্ধুকে নিয়ে ওব স্বপ্নদোষ হয়।,1,0,0,0
সহবাস থুক্কু সহমত,1,0,0,0
সেরা হইছে ভাই,0,0,0,1
আনোয়ার ভালো হয়ে যাও,0,0,0,1
একজনের কাজের শাস্তি আরেকজনকে দেওয়ার কালচারটা তখন থেকেই প্রতিষ্ঠিত হয়ে গেছে,0,0,0,1
হায় হায়।,0,0,0,1
ঘটনা কি সত্যি,0,0,0,1
এটা সেরা হইছে,0,0,0,1
আনোয়ার টিভিকে আইনের আওতায় আনা হচ্ছে।,0,0,0,1
জোর করে মানুষকে হাসাবেন না ভাই।হাসতে গিয়ে খাট নড়ে পাশের রুমের মানুষ মাইন্ড করে,1,0,0,0
তোমার এত পানি কেমনে আসে,1,0,0,0
আগামীর এমপি,0,0,0,1
আনসাং হিরো হাসনাত আব্দুল্লাহ,0,0,0,1
ভাইজান যেটাই বলো এখন আপনাদেরকে দেখলেই বাল বাল লাগে মানে বাউল বাউল,1,0,0,0
কুমিল্লার গর্ব বাংলার গর্ব আগামীর সংসদে দেখতে চাই,0,0,0,1
আপনাকেই আমরা সংসদে প্রতিনিধিত্ব করতে দেখতে চাই,0,0,0,1
ভাই আপনি নির্বাচনী প্রচারণা চালানো প্রয়োজন নেই। আপনার প্রচারণা চালানোর মতো লোকের অভাব নেই।,0,0,0,1
আপনার হাত ধরেই শিখুক কি ভাবে নতুন করে রাজনৈতিক গড়ে উঠে এই স্বাধীন বাংলাদেশে,0,0,0,1
হৃদয় ছুয়ে যাওয়া লেখা স্যার,0,0,0,1
মাশাল্লাহ কি চমৎকার উপলব্ধি কতো সুন্দরকরে নিজের মনের কথামালা দিয়ে নিজের অবিভ্যাক্তি প্রকাশ করলে। হাসনাত তুমি তোমার নামটাকে ইতিহাসে স্থান করে ফেলেছো আশা করি সারাজীবন এই স্থান যেনো অক্ষুণ্ণ থাকে।,0,0,0,1
অনেক দোয়া ও শুভকামনা রইল বন্ধু,0,0,0,1
যেই নেতাকে মানুষ আগে কল্পনা করতো সেই নেতাকে মানুষ এখন বাস্তবে দেখতে পাচ্ছে।,0,0,0,1
বাইকে মুরগি নাকি,0,0,0,1
কুমিল্লার দেবিদ্বার বাসী আপনাকে বরন করে নিক সেই কামনা।শুভকামনা রইলো,0,0,0,1
তুই যেমন আছিস সারাজীবন এমন থাকার চেষ্টাই করিস।,0,0,0,1
বাংলাদেশের গর্ব অদম্য সাহসী আমাদের প্রিয় হাসনাত আবদুল্লাহ।,0,0,0,1
মানুষের ভালবাসার মন্ত্রী হচ্ছে হাসনাত ভাই। দোয়া রইল ভাইয়ের জন্য,0,0,0,1
মা হলো সেই আশ্রয় যেখানে ফিরে এলে সব ঝড় থেমে যায়। যেন প্রতিটি মা তার সন্তানের গোধূলিবেলা ফিরে পায় শান্ত নিশ্চিন্ত ভালোবাসায় ভেজা।,0,0,0,1
যেমন অনুভূতি তেমন ভাষা ও বাস্তবতা। অসম্ভব সুন্দর বয়ান।,0,0,0,1
আপনার তো সাহিত্যিক হওয়ার কথা ছিলো। কথা ছিলো আপনি গল্প লিখবেন। তবে এই অপরাজনীতির দেশে আপনার একটি চমৎকার রাজনৈতিক গল্প লেখা হোক শুভকামনা,0,0,0,1
দেবীদ্বার এর গর্ব,0,0,0,1
জিতে যা বন্ধু তুই তাহলে এ পরিশ্রম সার্থক হবে।জাতিকে সার্ভিস তুই ছাড়া আর কেউ দিতে পারবে না।।,0,0,0,1
আপনার লেখাটা শুধু ব্যক্তিগত নয় অনুপ্ররণা হিসেবে আমাদের সবার মায়ের প্রতি দায়বদ্ধতার কথা মনে করিয়ে দিল।,0,0,0,1
বাংলাদেশ রাজনীতিবিদ হাসনাত আব্দুল্লাহকে পেয়েছে ঠিকই কিন্তু হারিয়েছে সেই ছায়ায় ঢেকে পড়া লেখক সাহিত্যিক হাসনাত আব্দুল্লাহকে। ভাইয়ের ২৪ পূর্ববর্তী লেখাগুলো যারা দেখেছেন রিলেট করতে পারবেন।,0,0,0,1
আল্লাহ যদি বাঁচায় আমরা ও দেখবো কই দিন থাকে এই উদ্যোক,0,0,0,1
কথা গুলো এক নিঃশ্বাসে পড়ে ফেললাম এই দ্বিধা ধন্দের চলমান জীবনে একটা প্রার্থনা আল্লাহ যেন আপনাকে আপনার কথার মতোই সুন্দর রাখেন একদম সিন্গ্ধ সকল মায়ের নির্ভরতা হয়ে থাকুন সত্যিকারের নির্ভরতা।,0,0,0,1
দ্য গ্রেট ম্যান হাসনাত আব্দুল্লাহ ইস আমি যদি মুরাদনগরের ভোটার না হয়ে দেবিদ্বারের ভোটার হতাম তাহলে নিঃসন্দেহে হাসনাত আব্দুল্লাহকে একটা ভোট দিতাম।,0,0,0,1
সাহিত্য ফুটে উঠেছে মাননীয় এমপি সাহেব কুমিল্লা ৪ আসন,0,0,0,1
আমি ব্যক্তিগতভাবে দুজন মানুষকে ভোট দিতাম যদি সুযোগ থাকতো হাদী ভাই ও হাসনাতকে,0,0,0,1
একেবারে হৃদয় নাড়িয়ে দেওয়ার মতো লেখা,0,0,0,1
হাসনাত আবদুল্লাহ বিজয় ইনশাআল্লাহ হবেই হবে,0,0,0,1
ছবিটা কিন্তু আমি তুলেছি ভাই,0,0,0,1
কী অসাধারণ আপনার দর্শন ভাই। কায়রোতে দেখা হবে আপনার সাথে ইনশাআল্লাহ। অপেক্ষায় আছি।,0,0,0,1
আজকে সরাসরি দেখলাম এবং মতবিনিময় করলাম মোট কথা আপনার সাথে কথা বলে অন্য রকম একটা অনুভুতি কাজ করলো। কোনো দিন কোনো নেতার সাথে এইভাবে কথা বলার সুযোগ হয় নাই,0,0,0,1
বাংলাদেশের ৩০০ আসনেই যদি একটা করে হাসনাত আসত,0,0,0,1
ভাই এত সুন্দর লিখেন কেমনে সেরা ভাই,0,0,0,1
"পুরো বাংলাদেশের সম্পদ।তাকে যে ভাবেই হওক টিকিয়ে রাখতে হবে, না হলে এই দেশে হাসনাত আবদুল্লাহর মত খাটি দেশপ্রেমিক জন্ম নিবে না।",0,0,0,1
জুলাইয়ের পর আমাদের কি অর্জন হয়েছে জানা নেই তবে আমরা হাসনাত আবদুল্লাহকে পেয়েছি জনতার কাতারে।,0,0,0,1
আমার ভাই,0,0,0,1
আমি শেরে বাংলা এ কে ফজলুল হকের নেতৃত্ব দেখিনাই হাসানাতের নেতৃত্ব দেখতে চাই। আল্লাহ যেন কবুল করে নেয়,0,0,0,1
ভাই আমরা চাই আপনি প্রতি মাসে হলে ও ৩ ৪ দিন দেবিদ্বার এ সময় দেন। মানুষ আপনাকে পেলে মন থেকে দোয়া দেয় ও শান্তি পায়। আপনাকে জনগন ভালোবাসতে শিখে গেছে। এই ২ দিনই তার প্রমান আমাদের কাছে।ইনকিলাব জিন্দাবাদ,0,0,0,1
পৃথিবীর সমস্ত সুখ মায়েদের হোক।,0,0,0,1
মমতাময়ী মা মুরগীর ডানার নিচে আশ্রয় ও প্রশান্তি পাওয়া ফুটফুটে সুন্দর মুরগির আদুরে বাচ্চাদের একজন। গ্রাম ও শহরের মায়েদের তথা নারীদের স্ব গৌরবে সম্মানজনক অবস্থান নিশ্চিত হোক তোমার নেতৃত্বে। অসাধারণ তোমার শব্দচয়ন। বাক্যপ্রাচীর সুউচ্চে মাথা তুলে দাঁড়ায় তোমার শব্দইটের গাঁথুনিতে। সহসা নজর কাড়ে তোমার মেধাবী কর্মকাণ্ডে। আল্লাহ তোমাকে তার রহমতের ছায়াতলে স্থান দান করেন।,0,0,0,1
অনেকদিন পর আগের মতো লিখলেন ভাই,0,0,0,1
আমি বলতে চাই হা জয়যুক্ত হোক হা ফর হাসনাত এন্ড হা ফর হাদী,0,0,0,1
রাজনীতি এবং লেখক দুই জায়গাতেই সুন্দর,0,0,0,1
এই বদলে যাওয়ার সময়ে যেন হাসনাত আবদুল্লাহ বদলে না যায়। তাহলে আমি আমার দুই আব্দুল্লাহকে একজন হাসনাত আবদুল্লাহর গল্প বলতে পারবো।,0,0,0,1
তার লিখনির ধার মন ছুয়ে যায়,0,0,0,1
ভাই এনসিপি যদি ভুল পথেও যায় আপনি অন্তত সততা বিক্রি কইরেন না।এনসিপির যতটুকু জনপ্রিয়তা তার সিংহভাগ আপনার জন্য।শুভকামনা থাকবে আপনার জন্য।,0,0,0,1
আমাদের ভাই,0,0,0,1
অনেক দামী অনুভব। রাজনৈতিক কৃষ্টি পরিবর্তন অতি জরুরি। সহকর্মীর মৃত্যু আমাদের রাজনৈতিক ফয়দা দেয়। নিরাপদ ও টেকসই বাংলাদেশ গড়ে উঠুক। রাজনীতি হোক মানুষের জন্য রাজনৈতিক দল হোক একে অন্যের প্রতি সহনশীল।,0,0,0,1
সাহিত্যবোধকবিত্বময় অনুভূতি যার মধ্যে আছে তাদের যেন কখনো রাজনীতিতে আসতে না হয়।রাজনীতিবীদের চে একজন সাহিত্যিক ও লেখক অনেক অনেক অনেক বেশি দামী।,0,0,0,1
এইসব ডিটেইল লেখাগুলা আরেকটু চালায় নিলে আমাদের ভালো লাগে। এতো সুন্দর লেখা পড়তেও আরাম লাগে,0,0,0,1
আমাদেরও আছে মাশরাফি বিন মুর্তজা কিংবা ব্যারিস্টার সুমনের চাইতেও বেটার অপশন,0,0,0,1
তোমার পোষ্ট ইদানীং কম দেখছি । কারণ ভিউ ১ টা কম হলেও যেন তুমি ফিল করো দেশ বিরোধি হলে কেউই তোমার সাথে থাকবে না । হোক তোমাকে নিয়ে আলোচনা সমালোচনা এগিয়ে যাবা ইনশাল্লাহ সংসদ এ দেখতে চাই,0,0,0,1
আঠারো কোটি মানুষের দেশে আঠারো শত হাসনাত আব্দুল্লাহ এক জায়গায় দাঁড়াতে পারলেই বদলে যাবে বাংলাদেশ।,0,0,0,1
এক বুক ভালবাসা আপনার জন্য। আপনিই আমাদের আশার আলো,0,0,0,1
বাংলার আরেক বাঘ,0,0,0,1
আম্মার জন্য একটা বৃষ্টি স্নিগ্ধ সবুজ বাড়ী করার কথা আমারও ছিল।এই স্বপ্নটা বোধহয় বাংলাদেশের প্রতিটি মধ্যবিত্ত ছেলেরই একটা চির সবুজ স্বপ্ন,0,0,0,1
ধন্য তুমি হাসনাত। মায়ের প্রতি তোমার হৃদয় নিংড়ানো ভালবাসা যেন বাংলাদেশের প্রতিটি মায়ের সন্তানের বুকে যেন থাকে তাই দোয়া করছি।,0,0,0,1
আপনার পরিশ্রম বৃথা যাবে না ইনশাআল্লাহ,0,0,0,1
আপনার লেখনী মাশাআল্লাহ,0,0,0,1
আহ হাসনাত কি লেখনী তোমার,0,0,0,1
দেবিদ্বার থেকে ই রবিনহুড হাসনাত ওঠে আসবে এ বাংলার মানুষের হৃদয় জয় করতে,0,0,0,1
যে ভালোবাসা মানুষের হৃদয়ে ঠাঁই পেয়েছে তা ছিড়ে ফেলার শক্তি পৃথিবীর কারো নেই।,0,0,0,1
মন ছুঁয়ে দিল।।,0,0,0,1
বাবাহাসনাত তোমার মত মানুষকে নিয়ে গর্ব হয়।সদা তোমার অন্তর ও বাহির মনোভাব এক থাকুক। কথা ও কাজের মাঝে কোন পার্থক্য না আসুক। এভাবেই গরীব দুখী ও জনগণের পাশে থেক।তাতে যদি তোমার পাহাড় পর্বত সমান বাধা ও আসে ইনশাআল্লাহ তুমি অতিক্রম করতে পারবে,0,0,0,1
কিন্তু আল্লাহ কাউকে না কাউকে তো ইনসাফ ও সততার পথে অবিচল রাখবেন।আমরা বিশ্বাস করি সেই কেউ একজন আমাদের হাসনাত। আল্লাহ তায়ালা হাসনাতকে সততা ও ইনসাফের পথে অবিচল রাখুক।,0,0,0,1
চালিয়ে যান। আসন নিশ্চিত। সংসদে আপনাকে দরকার। ঢাকায় হলে আপনার জন্য কাজ করতাম। খেয়াল করছি ঢাকা আটে যেহেতু থাকি ওসমান হাদি ভাইয়ের জন্য একদিন বের হব সময় বের করে। আপনাদের দরকার আগামী সংসদে। ফি আমানিল্লাহ,0,0,0,1
তোর জন্য দোয়া ও শুভকামনা বন্ধু,0,0,0,1
ন্যায়ের পথে থাকতে সাহস লাগে কিন্তু সেই সাহসই মানুষকে প্রকৃত মানুষ বানায়। অনেক শুভেচ্ছা ও শুভকামনা।।,0,0,0,1
এগিয়ে যান হাসনাত৷ ইউ আর দা ফিউচার৷,0,0,0,1
আমার দেখা সেরা একজন সরলতা মানুষ,0,0,0,1
লেখাটা ভয়ানক সুন্দর। দোয়া ও শুভকামনা রইল ভাইয়ের জন্য,0,0,0,1
লেখায় বুঝা গেছে অনেকটা আক্ষেপ ক্লান্ত হতাশা তারপরও আশাবাদী। ক্যাপ্টেন আপনি আমাদের মনে থাকবেন হাজার ও বছর,0,0,0,1
যা লিখেছেন আল্লাহ পাক যেন সবকিছুই কবুল করেন আমার খুব শখ আপনাকে একটু বুকে জড়িয়ে ধরি আশাবাদী আপনি এমপি হবার পরে সেটা হবে আমার যদি আপনার মত একটা সন্তান থাকতো কি সৌভাগ্যবান আপনার পিতামাতা ভালো থেক বাপজান অনেক অনেক দোয়া রইলো,0,0,0,1
কথাগুলো হৃদয়স্পর্শী,0,0,0,1
জুলাই তোমার সাহিত্য সত্তাটাকে খুন করতে চেয়েছিল। আজ এই লেখা পড়ে অশ্রুসিক্ত হলাম আর ২০১৮১৯ যে বড় বড় গল্প লিখতে সেটা হারিয়ে যায়নি তাতে প্রীত হলাম।এই লেখাটা সাহিত্যের চেয়ে বলবো মনের আকুতি।হাসনাত যারা বাইরে বড় হয় তাদের ঘর হারিয়ে যায়। তোমার দেখো এখন কত মাসব মায়েদের জন্য কাজ করবে সততা ধরে রাখবে দেশমাতাই তোমাকে কোলে নিয়ে আদর করবে আগলিয়ে রাখবে ইনশাআল্লাহ,0,0,0,1
প্রতিটি মায়ের ঘরে যেন অন্তত একটি করে তোমার মত সূর্য সন্তান জন্ম নেয়। তাহলে এ দেশ কখনও বিপথে যাবেনা এবং কোন মায়েরা কখনও সন্তানের বোঝা হবেনা।,0,0,0,1
বাংলার আরেক বাঘ। শেরে বাংলার উত্তরসূরী পেয়েছি আমরা।,0,0,0,1
আমাদের পরবর্তী প্রজন্ম এসে বলবে যে আমাদের একজন আসনাত আব্দুল্লাহ ছিল,0,0,0,1
অসাধারণ ছিলো কথাগুলো এবং ছবি যেন কথা বলে,0,0,0,1
খুলে যদি বলতে হয় তাহলে খুলা অবস্থায় আমি প্রথম দেখতে চাই।,1,0,0,0
কিছু তো করছে।,0,0,0,1
জটিল অংক ভাই,0,0,0,1
সিসিন ফাঁক,1,0,0,0
ফল আসলে বুঝা জাবে,0,0,0,1
মাহি আপুর সাথে নিকল ও ছিল,0,0,0,1
সন্দেহ হয় টাক দিয়ে ঘসে দিয়েছিলো,1,0,0,0
একটা উচিৎ কথা তেই হিরু থেকে বিলেন,0,0,0,1
লাগারে লাগা ডাইরেক্ট লাগা,1,1,0,0
সামনেও পিছেও,0,0,0,1
কলকাতা পন্থী,0,0,1,0
নিকোল সত্যি কি সেই সময় ঠিক ছিলোতো,0,0,0,1
মোরশেদের ভাই গ্রেট,0,0,0,1
এবার ঠিক আছে মুরাদ সাহেব সব পারে,0,0,0,1
হাসি বলে দেয় ঠিক ছিল না ভাই,0,0,0,1
সামনে পিঁছনে,0,0,0,1
ভাই শীতের রাতে না খুলে কি বলা যাবে,1,0,0,0
খুব জ্বলে মনে হয়!,0,0,0,1
মুরাদের সুইট হোমের পাখি,1,0,0,0
আপনার বয়স অভিজ্ঞতা কেমন দেখলে কি মনে হয়,0,0,0,1
চমৎকার মুহূর্ত,0,0,0,1
টাকলা খুব ভালো খেলোয়াড়,0,0,1,0
